Location Name,Status,Store Type,Store Email,Store Address,City,Province/State,Postal/Zip Code,Country,Store Tel,Store Hours,Region,Instagram Page,Facebook page
Retail Stores,,,,,,,,,,,,,
CANADA,,,,,,,,,,,,,
CAN WEST,,,,,,,,,,,,,
Arc'teryx Burrard,Open,Brand Store,shop.burrard@arcteryx.com,813 Burrard St.,Vancouver,BC,V6Z 1X8,Canada,(604) 416-1588,Mon-Sat: 10-7pm Sun: 11-7,Canada West,@arcteryxbc,https://www.facebook.com/arcteryx.vancouver/
Arc'teryx Kitsilano,Open,Pinnacle,shop.kitsilano@arcteryx.com,2201 W 4th Ave.,Vancouver,BC,V6K 1N7,Canada,(604) 737-1104,Mon-Sat: 10-7pm Sun: 11-6,Canada West,@arcteryxbc,https://www.facebook.com/arcteryx.vancouver/
Arc'teryx Metrotown,Open,Brand Store,shop.metrotown@arcteryx.com,1203-4700 Kingsway,Burnaby,BC,V5H 4M1,Canada,(236) 521 6076,"Mon-Sat: 10-9pm, Sun: 11-7",Canada West,@arcteryxbc,
Arc'teryx Park Royal,Open,,shop.parkroyal@arcteryx.com,"Unit G2, 825 Main St",West Vancouver,BC,V7T2Z3,Canada,(236) 706-0244,"Sun-Wed: 10AM - 7PM, Thur-Fri: 10AM - 9PM, Sat: 10AM - 8PM",Canada West,@arcteryxbc,
Arc'teryx Richmond Centre,Open,Brand Store,shop.richmond@arcteryx.com,"Richmond Centre, Unit 1566-6551 No. 3 Rd",Richmond,BC,V6Y 2B6,Canada,(778) 200-5959,"Mon-Sat: 10-9, Sun: 11-7",Canada West,@arcteryxbc,https://www.facebook.com/arcteryx.vancouver/
Arc'teryx Victoria,Open,Brand Store,shop.victoria@arcteryx.com,1305 Government Street,Victoria,BC,V8W 1Y9,Canada,(250) 940-3136,"Mon-Sat: 10-6, Sun: 10-5",Canada West,@arcteryxbc,https://www.facebook.com/arcteryxvictoria/
Arc'teryx Whistler,Open,Brand Store,shop.whistler@arcteryx.com,104-4338 Main Street,Whistler,BC,V8E 1B4,Canada,(604) 962-9272,Mon-Sun: 10-6,Canada West,@arcteryxbc,https://www.facebook.com/arcteryx.vancouver/
Arc'teryx North Vancouver FO,Open,Factory Outlet,vancouver.factoryoutletstore@arcteryx.com,2155 Dollarton Hwy #100,North Vancouver,BC,V7H 3B2,Canada,(604) 960-3119,Mon-Sun: 10-6,Canada West,@arcteryxbc,
CAN CENTRAL,,,,,,,,,,,,,
Arc'teryx Calgary,Open,Brand Store,shop.calgary@arcteryx.com,150-815 17th Ave SW,Calgary,AB,T2T 0A1,Canada,(587) 392-3135,Mon-Fri: 10-7 Sat-Sun: 10-6,Canada Central,@arcteryxalberta,https://www.facebook.com/arcteryxalberta/
Arc'teryx Chinook,Open,Brand Store,shop.chinook@arcteryx.com,1183-6455 Macleod Trail SW,Calgary,AB,T2H 0K8,Canada,(587) 391-4818,Mon-Sat: 10-9 Sun: 10-6,Canada Central,@arcteryxalberta,https://www.facebook.com/arcteryxalberta/
Arc'teryx Crossiron Mills,Open,Hybrid,shop.crossironmills@arcteryx.com,"Unit 456, 261055 Crossiron Blvd",Calgary,AB,T4A 0G3,Canada,(825) 425-0645,"Mon - Wed: 10AM -8PM
Thur- Sat: 10AM - 9PM
Sun 11AM - 6PM",Canada Central,,
Arc'teryx Market Mall,Open,Temp Brand Store,shop.marketmall@arcteryx.com,Unit R026 - 3625 Shaganappi Trail NW,Calgary,AB,T3A 0E2,Canada,(403) 288-4243,Mon-Fri: 10-9 Sat: 10-8 Sun: 10-6,Canada Central,@arcteryxalberta,https://www.facebook.com/arcteryxalberta/
Arc'teryx Southgate,Open,Brand Store,shop.southgate@arcteryx.com,"Unit 701 Southgate Centre, 5015-111 St. NW",Edmonton,AB,T6H 4M6,Canada,(587) 400-8558,Mon-Fri: 10 AM–9 PM Saturday: 10 AM–7 PM Sunday: 11 AM–6 PM,Canada Central,,
Arc'teryx West Edmonton,Open,Brand Store,shop.westedmonton@arcteryx.com,#2299-8882 170th St NW,Edmonton,AB,T5T 4M2,Canada,(587) 401-7115,Mon-Sat: 10-9 Sun: 11-6,Canada Central,@arcteryxalberta,https://www.facebook.com/arcteryxalberta/
CAN EAST,,,,,,,,,,,,,
Arc'teryx Dix30 (Brossard),Open,Brand Store,shop.quartierdix30@arcteryx.com,155 Promenade des Lanternes #20,Brossard,Qc,J4Y 0L3,Canada,(438) 793-6290,Mon-Fri: 10-6 Sat: 9-5 Sun: 10-5,Canada East,@arcteryxmontreal,https://www.facebook.com/arcteryxmontreal/
Arc'teryx Laval,Open,Brand Store,shop.laval@arcteryx.com,C004-3035 Boulevard le Carrefour,Laval,Qc,H7T 1C8,Canada,(450) 682-8087,Mon-Fri: 10-9 Sat: 9-5 Sun: 10-5,Canada East,@arcteryxmontreal,https://www.facebook.com/arcteryxmontreal/
Arc'teryx Montreal,Open,Brand Store,shop.montreal@arcteryx.com,"1515 Ste Catherine Ouest, Suite 1-745",Montreal,Qc,H3G 2W1,Canada,(514) 315-2052,Mon-Fri: 10-8 Sat-Sun: 10-6,Canada East,@arcteryxmontreal,https://www.facebook.com/arcteryxmontreal/
Arc'teryx Rideau,Open,Brand Store,shop.rideau@arcteryx.com,CF Rideau Centre #215A-50 Rideau St,Ottawa,ON,K1N 9J7,Canada,(613) 912-1155,"Monday - Saturday: 10AM - 9PM
Sunday - 11AM - 6PM",Canada East,@arcteryxmontreal,
Arc'teryx Westmount,Open,Arc'type Store,shop.westmount@arcteryx.com,4868 Sherbrooke St. West,Westmount,Qc,H3Z 1H1,Canada,(514) 369-2698,Mon-Fri: 10-6 Sat-Sun: 10-5,Canada East,@arcteryxmontreal,https://www.facebook.com/arcteryxmontreal/
